name,abbrv,formula,state,ref1,ref2,date,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
2-methyl-2-heptanol,C8H18O,C8H18O,aq,test,test,test,J,-125710.00000000001,-447830.00000000006,244.22022606070868,798.6698671522747,149.16,124.5865134888,90.765336684,160.9095270845948,-61.408931166264004,763.1743844514322,14.429709999999998,-0.670032385386095,0
2-methyl-3-heptanol,C8H18O,C8H18O,aq,test,test,test,J,-133100.0,-446540.0,273.3330887137356,781.5606286951252,149.42,124.71206419679999,91.160723624,161.59698935939474,-61.631619823503996,745.3945532359837,14.709879999999998,-0.6810235580828601,0
2-methyl-4-heptanol,C8H18O,C8H18O,aq,test,test,test,J,-133100.0,-446540.0,273.3330887137356,781.5606286951252,149.42,124.71206419679999,91.160723624,161.59698935939474,-61.631619823503996,745.3945532359837,14.709879999999998,-0.6810235580828601,0
3-methyl-2-heptanol,C8H18O,C8H18O,aq,test,test,test,J,-133100.0,-446540.0,273.3330887137356,781.5606286951252,149.42,124.71206419679999,91.160723624,161.59698935939474,-61.631619823503996,745.3945532359837,14.709879999999998,-0.6810235580828601,0
3-methyl-3-heptanol,C8H18O,C8H18O,aq,test,test,test,J,-125710.00000000001,-447830.00000000006,244.22022606070868,798.6698671522747,149.16,124.5865134888,90.765336684,160.9095270845948,-61.408931166264004,763.1743844514322,14.429709999999998,-0.670032385386095,0
3-methyl-4-heptanol,C8H18O,C8H18O,aq,test,test,test,J,-133100.0,-446540.0,273.3330887137356,781.5606286951252,149.42,124.71206419679999,91.160723624,161.59698935939474,-61.631619823503996,745.3945532359837,14.709879999999998,-0.6810235580828601,0
4-methyl-1-heptanol,C8H18O,C8H18O,aq,test,test,test,J,-131290.0,-439880.0,289.60006842193616,773.7752914340844,149.24,124.7365201992,90.598664156,160.68360189875165,-61.350293460375994,738.8888533628349,14.175009999999999,-0.6601039249318941,0
4-methyl-2-heptanol,C8H18O,C8H18O,aq,test,test,test,J,-133100.0,-446540.0,273.3330887137356,781.5606286951252,149.42,124.71206419679999,91.160723624,161.59698935939474,-61.631619823503996,745.3945532359837,14.709879999999998,-0.6810235580828601,0
4-methyl-3-heptanol,C8H18O,C8H18O,aq,test,test,test,J,-133100.0,-446540.0,273.3330887137356,781.5606286951252,149.42,124.71206419679999,91.160723624,161.59698935939474,-61.631619823503996,745.3945532359837,14.709879999999998,-0.6810235580828601,0
4-methyl-4-heptanol,C8H18O,C8H18O,aq,test,test,test,J,-125710.00000000001,-447830.00000000006,244.22022606070868,798.6698671522747,149.16,124.5865134888,90.765336684,160.9095270845948,-61.408931166264004,763.1743844514322,14.429709999999998,-0.670032385386095,0
5-methyl-1-heptanol,C8H18O,C8H18O,aq,test,test,test,J,-131290.0,-439880.0,289.60006842193616,773.7752914340844,149.24,124.7365201992,90.598664156,160.68360189875165,-61.350293460375994,738.8888533628349,14.175009999999999,-0.6601039249318941,0
5-methyl-2-heptanol,C8H18O,C8H18O,aq,test,test,test,J,-133100.0,-446540.0,273.3330887137356,781.5606286951252,149.42,124.71206419679999,91.160723624,161.59698935939474,-61.631619823503996,745.3945532359837,14.709879999999998,-0.6810235580828601,0
5-methyl-3-heptanol,C8H18O,C8H18O,aq,test,test,test,J,-133100.0,-446540.0,273.3330887137356,781.5606286951252,149.42,124.71206419679999,91.160723624,161.59698935939474,-61.631619823503996,745.3945532359837,14.709879999999998,-0.6810235580828601,0
