compound,actual,prediction,pred errs
Methyl Acetate,,196.97,12.16
Methyl Acetate,,196.97,12.16
Methyl Acetate,,196.97,12.16
Methyl Acetate,,196.97,12.16
Methyl Acetate,,196.97,12.16
Methyl Acetate,,196.97,12.16
Methyl Acetate,,196.97,12.16
Methyl Acetate,,196.97,12.16
Methyl Acetate,,196.97,12.16
Methyl Acetate,,196.97,12.16
Methyl Acetate,,196.97,12.16
Methyl Acetate,,196.97,12.16
Methyl Acetate,,196.97,12.16
Methyl Acetate,,196.97,12.16
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Ethyl Acetate,,274.83,12.08
Isopropyl Acetate,,338.37,25.09
Isopropyl Acetate,,338.37,25.09
Isopropyl Acetate,,338.37,25.09
Isopropyl Acetate,,338.37,25.09
Isopropyl Acetate,,338.37,25.09
Isopropyl Acetate,,338.37,25.09
Isopropyl Acetate,,338.37,25.09
Propyl Acetate,,334.12,13.77
Propyl Acetate,,334.12,13.77
Propyl Acetate,,334.12,13.77
Propyl Acetate,,334.12,13.77
Propyl Acetate,,334.12,13.77
Propyl Acetate,,334.12,13.77
Propyl Acetate,,334.12,13.77
Propyl Acetate,,334.12,13.77
